city,city_en,city_fa,lat,lng,country,iso2,admin_name,capital,population,population_proper
Vīshkā Sūqeh,Vishka Suqeh,ویسهکا سوقهه,37.3533,49.7347,Iran,IR,Gīlān,,1157.0,1157.0
Marz Dasht,Marz Dasht,مارز دشت,37.3856,49.6739,Iran,IR,Gīlān,,1149.0,1149.0
Tāzehābād,Tazehabad,تازه‌آباد,37.3906,49.6456,Iran,IR,Gīlān,,1146.0,1146.0
Chūnchenān,Chunchenan,کهونکههنان,37.4333,49.8528,Iran,IR,Gīlān,,1146.0,1146.0
Emāmzādeh Bāqer,Emamzadeh Baqer,امامزاده باقر,35.49,51.1856,Iran,IR,Tehrān,,1134.0,1134.0
Fīrūzbahrām,Firuzbahram,فیروزبهرام,35.6275,51.2492,Iran,IR,Tehrān,,1103.0,1103.0
Pīshkenār,Pishkenar,پیسهکهنار,37.1469,49.7233,Iran,IR,Gīlān,,1088.0,1088.0
Dahaneh Sar-e Shījān,Dahaneh Sar-e Shijan,داهانهه سر سهیجان,37.4283,49.5831,Iran,IR,Gīlān,,1085.0,1085.0
Ḩashkovā,Hashkova,هاسهکوا,37.2258,49.7525,Iran,IR,Gīlān,,1078.0,1078.0
Balaskaleh,Balaskaleh,بالاسکالهه,37.4192,49.7436,Iran,IR,Gīlān,,1077.0,1077.0
Tūsarāvandān,Tusaravandan,توسراواندان,37.2411,49.665,Iran,IR,Gīlān,,1073.0,1073.0
Malek Kīān,Malek Kian,ملک‌کیان,38.0567,46.5414,Iran,IR,Āz̄arbāyjān-e Sharqī,,1066.0,1066.0
Gūrāb Sar,Gurab Sar,گوراب سر,37.2792,49.6964,Iran,IR,Gīlān,,1058.0,1058.0
Raḩmānīyeh,Rahmaniyeh,رحمانیه,35.7344,50.6222,Iran,IR,Alborz,,1012.0,1012.0
Shahr-e Jadīd-e Pardīs,Shahr-e Jadid-e Pardis,شهر جدید پردیس,35.7469,51.8122,Iran,IR,Tehrān,minor,,
Sārī,Sari,ساری,36.5633,53.0601,Iran,IR,Māzandarān,admin,,
Īlām,Ilam,ایلام,33.6374,46.4227,Iran,IR,Īlām,admin,,
